Method,Aoc
ipop-cma-es-csa-basic,2.0507405764966737
rb-ipop-cma-es-csa-best,2.1366799704360675
ipop-cma-es-ppmf-basic,2.232072431633407
rb-ipop-cma-es-ppmf-best-no-ss,2.293531411677753
rb-ipop-cma-es-csa-mean,2.443213599408721
rb-ipop-cma-es-ppmf-ave-no-ss,2.4780813008130087
rb-ipop-cma-es-csa-ave,2.489121951219512
rb-ipop-cma-es-ppmf-mean-no-ss,2.4927893569844786
